company,real,model,correct,guess,completion_tokens,latency_s
1,AMD,gemma4-12b,1,"1) **AMD (Advanced Micro Devices, Inc.)**  2) **Specific Clues:** *   **Product Lineup & Architecture:** The report describes a company that",315,4.4
2,AppLovin,gemma4-12b,1,"1) **AppLovin**  2) **Specific Clues:** *   **Product Portfolio (NexReach, PEAK, Calibrate, StreamLink):** These fictional names directly co",382,5.3
3,General Motors,gemma4-12b,1,"1) **General Motors (GM)**  2) **Specific Clues:** *   **The Ignition Switch Recall:** The text explicitly mentions ""proceedings related to ",288,5.1
4,Kroger,gemma4-12b,0,"1) ** Albertsons Companies**  2) **Specific Clues:** *   **The ""Extra Week"" and Fiscal Year End:** The report mentions a fiscal year ending ",324,5.3
5,McKesson,gemma4-12b,0,"1) **AmerisourceBergen (now Cencora)**  2) **Specific Clues:** *   **The ""Nexus Health Exchange"" and ""Core MTS Business"" Joint Venture:** Th",377,5.5
6,Netflix,gemma4-12b,1,"1) **Netflix, Inc.**  2) **Specific Clues:** *   **Business Model & Content Strategy:** The report describes a company that scales ""original",360,5.2
7,Palantir,gemma4-12b,1,1) **Palantir Technologies Inc.**  2) **Specific Clues:** *   **Founding and Origin Story:** The report mentions being founded in 2003 and s,332,4.8
8,SanDisk,gemma4-12b,1,"1) **Western Digital Corporation** (specifically modeled on the **SanDisk** brand/division).  2) **Specific Clues:** *   **The ""Spin-off"" an",309,4.5
1,AMD,gemma4-26b-a4b,1,"1) **Advanced Micro Devices, Inc. (AMD)**  2) **Specific Clues:** * **Product Lineup:** The report describes a company specializing in x86 m",294,3.0
2,AppLovin,gemma4-26b-a4b,1,"1) **AppLovin Corporation**  2) **Specific Clues:** * **Business Model Segments:** The report describes a dual-segment model consisting of """,297,3.0
3,General Motors,gemma4-26b-a4b,1,1) **General Motors Company**  2) **Specific Clues:** * **The Ignition Switch Recall:** The text repeatedly mentions significant legal costs,257,3.1
4,Kroger,gemma4-26b-a4b,0,"1) **Ahold Delhaize**  2) **Specific Clues:** * **The Merger History:** The text explicitly mentions the merger between ""Groupe Delhaize"" an",288,3.2
5,McKesson,gemma4-26b-a4b,0,"1) **AmerisourceBergen** (now known as **Cencora**)  2) **Specific Clues:** * **The ""Nexus Health Exchange"" Joint Venture:** The report desc",326,3.5
6,Netflix,gemma4-26b-a4b,1,"1) **Netflix, Inc.**  2) **Specific Clues:** * **Business Model & Recent Evolution:** The text explicitly mentions the transition to an ""ad-",262,2.8
7,Palantir,gemma4-26b-a4b,1,1) **Palantir Technologies Inc.**  2) **Specific Clues:** * **Origins and Mission:** The report describes a company founded in 2003 that beg,310,3.0
8,SanDisk,gemma4-26b-a4b,0,"1) **Kioxia Corporation**  2) **Specific Clues:** * **The Joint Venture Structure:** The report describes a complex relationship with ""Kaise",270,3.1
1,AMD,gemma4-31b,1,"1) **AMD (Advanced Micro Devices, Inc.)**  2) **Specific Clues:** *   **Product Portfolio:** The report describes a company that produces x8",301,9.0
2,AppLovin,gemma4-31b,1,1) **AppLovin**  2) **Specific Clues:** *   **The Business Model:** The report describes a dual-segment structure consisting of an AI-powere,310,9.8
3,General Motors,gemma4-31b,1,"1) **General Motors (GM)**  2) **Specific Clues:** *   **The Ignition Switch Recall:** The text explicitly mentions ""proceedings related to ",292,10.5
4,Kroger,gemma4-31b,1,"1) **Kroger** (The Kroger Co.)  2) **Specific Clues:** *   **Store Count and Profile:** The report mentions operating 2,515 supermarkets, wi",308,10.4
5,McKesson,gemma4-31b,0,1) **AmerisourceBergen** (now known as **Cencora**)  2) **Specific Clues:** *   **Revenue and Financial Profile:** The report shows revenues,283,10.2
6,Netflix,gemma4-31b,1,"1) **Netflix**  2) **Specific Clues:** *   **AWS Dependency:** The text explicitly mentions that the company runs the ""vast majority"" of its",281,9.9
7,Palantir,gemma4-31b,1,1) **Palantir Technologies Inc.**  2) **Specific Clues:** *   **Origin Story:** The report mentions being founded in 2003 to build software ,345,11.2
8,SanDisk,gemma4-31b,0,"1) **Solidigm** (or more accurately, the **SK Hynix/Solidigm** entity)  2) **Specific Clues:** *   **The Joint Venture with ""Kaisen Memory"":",331,11.2
1,AMD,llama31-8b,1,1. **AMD (Advanced Micro Devices)**  3-5 specific clues from the text:  1. **Microprocessor offerings**: The report mentions that Vectron Sy,359,2.8
2,AppLovin,llama31-8b,0,1) My single best guess for the real publicly-traded company this report is most likely modeled on is: Unity Software Inc. (NYSE: U)  3-5 sp,220,2.9
3,General Motors,llama31-8b,1,1. My single best guess for the real publicly-traded company this report is most likely modeled on is:  General Motors Company (GM)  2. Here,301,3.5
4,Kroger,llama31-8b,0,1) My single best guess for the real publicly-traded company this report is most likely modeled on is: **Walmart Inc.**  2) Here are 3-5 spe,288,3.5
5,McKesson,llama31-8b,1,1. My single best guess for the real publicly-traded company this report is most likely modeled on is McKesson Corporation (MCK).  2. Here a,252,3.2
6,Netflix,llama31-8b,1,"1) My single best guess for the real publicly-traded company this report is most likely modeled on is: **Netflix, Inc.**  2) Here are 3-5 sp",397,3.8
7,Palantir,llama31-8b,1,1) My single best guess for the real publicly-traded company this report is most likely modeled on is Palantir Technologies Inc. (PLTR).  2),347,3.5
8,SanDisk,llama31-8b,0,"1) My single best guess for the real publicly-traded company this report is most likely modeled on is: **Micron Technology, Inc.**  2) Here ",188,2.4
1,AMD,qwen35-27b,1,"1) **Advanced Micro Devices, Inc. (AMD)**  2) **Specific Clues from the Text:** *   **Pending Acquisition:** The report details a pending me",558,11.0
2,AppLovin,qwen35-27b,1,1) **AppLovin Corporation**  2) **Specific Clues:** *   **Product Name Mapping:** The fictional product names are direct analogs to AppLovin,700,13.1
3,General Motors,qwen35-27b,1,"1) **General Motors Company**  2) **Specific Clues:** *   **The ""Ignition Switch Recall"":** The report repeatedly references a massive, defi",601,12.8
4,Kroger,qwen35-27b,1,"1) **Kroger Co.**  2) **Specific Clues:** *   **Store Formats and Services:** The report explicitly mentions ""QuickPick®"" (Kroger's curbside",700,14.1
5,McKesson,qwen35-27b,0,"1) **AmerisourceBergen Corporation** (now operating as **Cencora** following its 2023 rebranding, but the report reflects the AmerisourceBer",521,11.5
